run_id,family,study_id,variant_id,source_root,curated_report,focused_tracking_rmse_mm,focused_post_contact_rmse_mm,focused_transparency_rmse_w,focused_ratio_median,focused_ratio_error_rmse,focused_ratio_valid_fraction,focused_ratio_within_20pct,focused_rms_u_v,focused_mean_abs_delta_u_v,focused_mean_abs_delta2_u_v,focused_failure_rate,train_steps,test_episodes,status
physics_informed_formulations_03_fair_bias15_500k/F5_accel_state_reward,physics_informed,physics_informed_formulations_03_fair_bias15_500k,F5_accel_state_reward,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#physics-informed-formulations-f0-f6,15.893,14.588,1.618,0.595,1946.017,0.570,0.130,0.466,0.075,0.084,0.000,500000,32,complete
physics_informed_formulations_03_fair_bias15_500k/F6_effort_plus_delta_u,physics_informed,physics_informed_formulations_03_fair_bias15_500k,F6_effort_plus_delta_u,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#physics-informed-formulations-f0-f6,5.002,3.288,1.330,0.917,683.580,0.627,0.084,0.336,0.211,0.380,0.000,500000,32,complete
temporal_observation_stack_03_fair_bias15_500k/T0_pos_current,temporal_observation,temporal_observation_stack_03_fair_bias15_500k,T0_pos_current,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#temporal-observations-t0-t4,6.487,5.028,1.664,1.045,18.305,0.554,0.066,0.302,0.103,0.183,0.000,500000,32,complete
temporal_observation_stack_03_fair_bias15_500k/T1_pos_stack3,temporal_observation,temporal_observation_stack_03_fair_bias15_500k,T1_pos_stack3,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#temporal-observations-t0-t4,6.488,4.806,1.412,1.045,20.668,0.557,0.109,0.243,0.033,0.034,0.000,500000,32,complete
temporal_observation_stack_03_fair_bias15_500k/T2_pos_stack5,temporal_observation,temporal_observation_stack_03_fair_bias15_500k,T2_pos_stack5,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#temporal-observations-t0-t4,8.071,6.521,1.873,0.003,77.438,0.772,0.037,4.831,9.606,19.217,0.000,500000,32,complete
temporal_observation_stack_03_fair_bias15_500k/T3_posvel_current,temporal_observation,temporal_observation_stack_03_fair_bias15_500k,T3_posvel_current,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#temporal-observations-t0-t4,5.177,3.348,1.357,1.075,417.006,0.570,0.104,0.404,0.341,0.666,0.000,500000,32,complete
temporal_observation_stack_03_fair_bias15_500k/T4_posvel_stack3,temporal_observation,temporal_observation_stack_03_fair_bias15_500k,T4_posvel_stack3,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#temporal-observations-t0-t4,4.967,2.898,1.393,0.505,319.730,0.642,0.061,1.194,1.324,2.576,0.000,500000,32,complete
physics_auxiliary_gru_ppo_03_fair_bias15_500k/G0_gru_ppo,auxiliary_gru,physics_auxiliary_gru_ppo_03_fair_bias15_500k,G0_gru_ppo,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#auxiliary-gru-ppo-g0-g3,76.529,180.343,1.007,0.012,4.824,0.095,0.008,0.122,0.000,0.000,1.000,500199,32,complete
physics_auxiliary_gru_ppo_03_fair_bias15_500k/G1_gru_prediction,auxiliary_gru,physics_auxiliary_gru_ppo_03_fair_bias15_500k,G1_gru_prediction,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#auxiliary-gru-ppo-g0-g3,85.159,102.897,0.699,0.366,29.979,0.280,0.091,0.033,0.000,0.000,0.080,500463,32,complete
physics_auxiliary_gru_ppo_03_fair_bias15_500k/G2_gru_hidden_state,auxiliary_gru,physics_auxiliary_gru_ppo_03_fair_bias15_500k,G2_gru_hidden_state,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#auxiliary-gru-ppo-g0-g3,123.245,158.799,0.647,0.290,1139.181,0.124,0.075,0.051,0.000,0.000,0.960,500011,32,complete
physics_auxiliary_gru_ppo_03_fair_bias15_500k/G3_gru_prediction_hidden,auxiliary_gru,physics_auxiliary_gru_ppo_03_fair_bias15_500k,G3_gru_prediction_hidden,matlab_env_python_replica/policy_gradient_experiments/results/dyn,results_index/all_results.md#auxiliary-gru-ppo-g0-g3,118.588,n/a,4.551,0.000,1.392,0.179,0.062,1.098,0.001,0.001,1.000,500006,32,complete
